"Guid","Name","SBQQ__BorderColor__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeaderHidden__c","SBQQ__ConditionalPrintField__c","SBQQ__Content__c","SBQQ__DisplayOrder__c","SBQQ__FilterField__c","SBQQ__FilterOperator__c","SBQQ__FilterValue__c","SBQQ__GroupField__c","SBQQ__KeepTogether__c","SBQQ__KeepWithNext__c","SBQQ__KeepWithPrevious__c","SBQQ__PageBreak__c","SBQQ__QuoteTotalsPrinted__c","SBQQ__RollUpField__c","SBQQ__SummaryDisplay__c","SBQQ__Template__c","SBQQ__TopMargin__c"
6b3aa950-05cd-4413-9d0a-2e3cdcfaf794,Top,"#N/A",0.0,false,"#N/A",16e12ece-de28-45af-87cc-798fdc62d317,10.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",6a250012-f1e5-4fa9-bf6d-039ad49a20c6,0.0
a33bcc4e-3b08-4358-9baf-da62e984aee9,Bottom,"#N/A",0.0,false,"#N/A",9c5b321a-6071-4f3f-ae39-a65ce928c8d8,30.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",6a250012-f1e5-4fa9-bf6d-039ad49a20c6,0.0
ea18e99a-208b-4723-8bee-fdf4fc99576a,Lines,"#N/A",0.0,false,"#N/A",21c57719-9cfd-4968-aa51-3b149e3c4751,20.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",6a250012-f1e5-4fa9-bf6d-039ad49a20c6,0.0
