"Guid","SBQQ__IsRead__c","SBQQ__JobDetails__c","SBQQ__JobId__c","SBQQ__JobStatus__c","SBQQ__RecordId__c","SBQQ__RedirectUrl__c","SBQQ__Stacktrace__c"
1b0d8202-66e1-41ca-99a0-12ff5edd6b4c,false,"#N/A","#N/A",Completed,a344x0000000vWMAAY::QuoteCalculator,"#N/A","#N/A"
4d47019f-d680-4ed2-a9cc-1beefef869fa,false,"#N/A",7078a0000Atsb4J,Completed,a344x0000000vWCAAY::QuoteCalculator,"#N/A","#N/A"
7b69017c-a181-4553-a8f5-f745c51932d5,false,"#N/A","#N/A",Completed,a344x0000000vWRAAY::QuoteCalculator,"#N/A","#N/A"
9b0978fd-6b59-4a09-9e30-3c16c69969e8,false,"#N/A",7078a0000Atsb4K,Completed,a344x0000000vWHAAY::QuoteCalculator,"#N/A","#N/A"
b8ab24d7-cc44-4c5b-8af3-79963c126fb9,false,"#N/A",7078a0000AszFL5,"#N/A",a344x0000000vWWAAY::QuoteCalculator,"#N/A","#N/A"
c3bb100e-c05d-4506-a377-4f90fbceddf9,false,"#N/A",7078a0000Atsb4I,"#N/A",a344x0000000vMeAAI::QuoteCalculator,"#N/A","#N/A"
d2e69c95-1620-4d16-8fcb-3d4f22eb93ae,true,"#N/A",7078a0000AszFL6,"#N/A",a344x0000000vW7AAI::QuoteDocumentService,"#N/A","#N/A"
fda7bfb5-73c6-4704-bb66-1b6829afc19a,false,"#N/A","#N/A",Completed,a344x0000000vW7AAI::QuoteCalculator,"#N/A","#N/A"
